Sample Name	Comment[Processed Tissue Weight (mg)]	Protocol REF	Extract Name	Comment[Extraction Method]	Protocol REF	Parameter Value[library strategy]	Parameter Value[library selection]	Parameter Value[library layout]	Protocol REF	Parameter Value[sequencing instrument]	Assay Name	Raw Data File
Mmus_C57-6J_EYE_GC_Rep1_M33	15.3	nucleic acid extraction	RR1_GC_M33_EYE_DNA	AllPrep DNA/RNA Mini Kit	DNA sequencing library construction	Bisulfite-Seq	PCR	PAIRED	nucleic acid sequencing	Illumina HiSeq 4000	Whole Genome Bisulfite Sequencing	GLDS-100_wgbs_M33-EYE-wgbs.tar.gz
Mmus_C57-6J_EYE_GC_Rep2_M34	17.8	nucleic acid extraction	RR1_GC_M34_EYE_DNA	AllPrep DNA/RNA Mini Kit	DNA sequencing library construction	Bisulfite-Seq	PCR	PAIRED	nucleic acid sequencing	Illumina HiSeq 4001	Whole Genome Bisulfite Sequencing	GLDS-100_wgbs_M34-EYE-wgbs.tar.gz
Mmus_C57-6J_EYE_GC_Rep3_M35	14.5	nucleic acid extraction	RR1_GC_M35_EYE_DNA	AllPrep DNA/RNA Mini Kit	DNA sequencing library construction	Bisulfite-Seq	PCR	PAIRED	nucleic acid sequencing	Illumina HiSeq 4002	Whole Genome Bisulfite Sequencing	GLDS-100_wgbs_M35-EYE-wgbs.tar.gz
Mmus_C57-6J_EYE_GC_Rep4_M36	20.2	nucleic acid extraction	RR1_GC_M36_EYE_DNA	AllPrep DNA/RNA Mini Kit	DNA sequencing library construction	Bisulfite-Seq	PCR	PAIRED	nucleic acid sequencing	Illumina HiSeq 4003	Whole Genome Bisulfite Sequencing	GLDS-100_wgbs_M36-EYE-wgbs.tar.gz
Mmus_C57-6J_EYE_GC_Rep5_M37	20.5	nucleic acid extraction	RR1_GC_M37_EYE_DNA	AllPrep DNA/RNA Mini Kit	DNA sequencing library construction	Bisulfite-Seq	PCR	PAIRED	nucleic acid sequencing	Illumina HiSeq 4004	Whole Genome Bisulfite Sequencing	GLDS-100_wgbs_M37-EYE-wgbs.tar.gz
Mmus_C57-6J_EYE_GC_Rep6_M38	18.2	nucleic acid extraction	RR1_GC_M38_EYE_DNA	AllPrep DNA/RNA Mini Kit	DNA sequencing library construction	Bisulfite-Seq	PCR	PAIRED	nucleic acid sequencing	Illumina HiSeq 4005	Whole Genome Bisulfite Sequencing	GLDS-100_wgbs_M38-EYE-wgbs.tar.gz
Mmus_C57-6J_EYE_FLT_Rep1_M23	12.6	nucleic acid extraction	RR1_FLT_M23_EYE_DNA	AllPrep DNA/RNA Mini Kit	DNA sequencing library construction	Bisulfite-Seq	PCR	PAIRED	nucleic acid sequencing	Illumina HiSeq 4006	Whole Genome Bisulfite Sequencing	GLDS-100_wgbs_M23-EYE-wgbs.tar.gz
Mmus_C57-6J_EYE_FLT_Rep2_M24	19.8	nucleic acid extraction	RR1_FLT_M24_EYE_DNA	AllPrep DNA/RNA Mini Kit	DNA sequencing library construction	Bisulfite-Seq	PCR	PAIRED	nucleic acid sequencing	Illumina HiSeq 4007	Whole Genome Bisulfite Sequencing	GLDS-100_wgbs_M24-EYE-wgbs.tar.gz
Mmus_C57-6J_EYE_FLT_Rep3_M25	19.6	nucleic acid extraction	RR1_FLT_M25_EYE_DNA	AllPrep DNA/RNA Mini Kit	DNA sequencing library construction	Bisulfite-Seq	PCR	PAIRED	nucleic acid sequencing	Illumina HiSeq 4008	Whole Genome Bisulfite Sequencing	GLDS-100_wgbs_M25-EYE-wgbs.tar.gz
Mmus_C57-6J_EYE_FLT_Rep4_M26	16.4	nucleic acid extraction	RR1_FLT_M26_EYE_DNA	AllPrep DNA/RNA Mini Kit	DNA sequencing library construction	Bisulfite-Seq	PCR	PAIRED	nucleic acid sequencing	Illumina HiSeq 4009	Whole Genome Bisulfite Sequencing	GLDS-100_wgbs_M26-EYE-wgbs.tar.gz
Mmus_C57-6J_EYE_FLT_Rep5_M27	17.1	nucleic acid extraction	RR1_FLT_M27_EYE_DNA	AllPrep DNA/RNA Mini Kit	DNA sequencing library construction	Bisulfite-Seq	PCR	PAIRED	nucleic acid sequencing	Illumina HiSeq 4010	Whole Genome Bisulfite Sequencing	GLDS-100_wgbs_M27-EYE-wgbs.tar.gz
Mmus_C57-6J_EYE_FLT_Rep6_M28	18.7	nucleic acid extraction	RR1_FLT_M28_EYE_DNA	AllPrep DNA/RNA Mini Kit	DNA sequencing library construction	Bisulfite-Seq	PCR	PAIRED	nucleic acid sequencing	Illumina HiSeq 4011	Whole Genome Bisulfite Sequencing	GLDS-100_wgbs_M28-EYE-wgbs.tar.gz
