Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Diet]	Term Source REF	Term Accession Number	Comment[Feeding Schedule]	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Light Cycle]	Term Source REF	Term Accession Number	Parameter Value[habitat]	Term Source REF	Term Accession Number	Parameter Value[Duration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[Source Description]	Comment[Original Submitted Sample Name]	Comment[ALSDA Biospecimen ID]	Comment[ALSDA Biospecimen Subject ID]	Comment[Sample Name Description]
RR1_GC_M33	Mmus_C57-6J_EYE_GC_Rep1_M33	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	Ground Control			left eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0004548	Animal Husbandry	12 h light/dark cycle			Rodent Habitat			37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100457	Mini Cold Bag to -80C freezer			RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Intact carcass	RR1_GC_M33_EYE	5124a	445	Ground Control-Mouse33-Eye-Left
RR1_GC_M34	Mmus_C57-6J_EYE_GC_Rep2_M34	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	Ground Control			left eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0004548	Animal Husbandry	12 h light/dark cycle			Rodent Habitat			37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100457	Mini Cold Bag to -80C freezer			RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Intact carcass	RR1_GC_M34_EYE	5124a	445	Ground Control-Mouse34-Eye-Left
RR1_GC_M35	Mmus_C57-6J_EYE_GC_Rep3_M35	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	Ground Control			left eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0004548	Animal Husbandry	12 h light/dark cycle			Rodent Habitat			37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100457	Mini Cold Bag to -80C freezer			RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Intact carcass	RR1_GC_M35_EYE	5124a	445	Ground Control-Mouse35-Eye-Left
RR1_GC_M36	Mmus_C57-6J_EYE_GC_Rep4_M36	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	Ground Control			left eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0004548	Animal Husbandry	12 h light/dark cycle			Rodent Habitat			37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100457	Mini Cold Bag to -80C freezer			RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Intact carcass	RR1_GC_M36_EYE	5124a	445	Ground Control-Mouse36-Eye-Left
RR1_GC_M37	Mmus_C57-6J_EYE_GC_Rep5_M37	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	Ground Control			left eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0004548	Animal Husbandry	12 h light/dark cycle			Rodent Habitat			37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100457	Mini Cold Bag to -80C freezer			RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Intact carcass	RR1_GC_M37_EYE	5124a	445	Ground Control-Mouse37-Eye-Left
RR1_GC_M38	Mmus_C57-6J_EYE_GC_Rep6_M38	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	Ground Control			left eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0004548	Animal Husbandry	12 h light/dark cycle			Rodent Habitat			37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100457	Mini Cold Bag to -80C freezer			RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Intact carcass	RR1_GC_M38_EYE	5124a	445	Ground Control-Mouse38-Eye-Left
RR1_FLT_M23	Mmus_C57-6J_EYE_FLT_Rep1_M23	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	left eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0004548	Animal Husbandry	12 h light/dark cycle			Rodent Habitat			37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100457	Mini Cold Bag to -80C freezer			RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Intact carcass	RR1_FLT_M23_EYE	5122a	426	Flight-Mouse23-Eye-Left
RR1_FLT_M24	Mmus_C57-6J_EYE_FLT_Rep2_M24	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	left eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0004548	Animal Husbandry	12 h light/dark cycle			Rodent Habitat			37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100457	Mini Cold Bag to -80C freezer			RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Intact carcass	RR1_FLT_M24_EYE	5122a	426	Flight-Mouse24-Eye-Left
RR1_FLT_M25	Mmus_C57-6J_EYE_FLT_Rep3_M25	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	left eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0004548	Animal Husbandry	12 h light/dark cycle			Rodent Habitat			37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100457	Mini Cold Bag to -80C freezer			RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Intact carcass	RR1_FLT_M25_EYE	5122a	426	Flight-Mouse25-Eye-Left
RR1_FLT_M26	Mmus_C57-6J_EYE_FLT_Rep4_M26	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	left eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0004548	Animal Husbandry	12 h light/dark cycle			Rodent Habitat			37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100457	Mini Cold Bag to -80C freezer			RNALater	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Intact carcass	RR1_FLT_M26_EYE	5122a	426	Flight-Mouse26-Eye-Left
