Sample Name	Characteristics[Material Type]	Term Source REF	Term Accession Number	Comment[Core Facility Sample Name]	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Parameter Value[Pool strategy]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[instrument]	Term Source REF	Term Accession Number	Parameter Value[chromatography]	Parameter Value[ion source]	Term Source REF	Term Accession Number	Parameter Value[dissociation]	Parameter Value[analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Comment[Run Number]	Raw Spectral Data File	Comment[Raw Spectral Data File Name]	Comment[Raw files .mzML file format]	Protocol REF	Data Transformation Name	Comment[Processed Data FIle]	Comment[Peptide Spectrum Match File]	Comment[Protein Group Assignment File]	Peptide Assignment File	Protein Assignment File
Mmus_BAL-TAL_EYE_BSL_Rep5_B1	right eye			BSL1	protein extraction	RR3_BSL_B1_R EYE_PRT	TMT isobaric labeling	RR3_BSL_B1_R EYE_PRT_129C	129C			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)			Reverse Phase Liquid Chromatography	Electrospray Ionization			CID/HCD	Ion Trap & Orbitrap			MS3 isobaric ten plex analysis	EYE1	GLDS-162_proteomics_RR3_EYE_Proteomics_Raw.tar.gz	171207_NASA_SLP_7401_EYE1_Fraction*.RAW	171207_NASA_SLP_7401_EYE1_Fraction*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-162_proteomics_RR3_EYE_processed.zip	171207_NASA_SLP_7401_EYE1_PSMs.txt	171207_NASA_SLP_7401_EYE1_ProteinGroups.txt	171207_NASA_SLP_7401_EYE1_PeptideGroups.txt	171207_NASA_SLP_7401_EYE1_Proteins.txt
Mmus_BAL-TAL_EYE_BSL_Rep1_B2	right eye			BSL2	protein extraction	RR3_BSL_B2_R EYE_PRT	TMT isobaric labeling	RR3_BSL_B2_R EYE_PRT_130N	130N			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)			Reverse Phase Liquid Chromatography	Electrospray Ionization			CID/HCD	Ion Trap & Orbitrap			MS3 isobaric ten plex analysis	EYE1	GLDS-162_proteomics_RR3_EYE_Proteomics_Raw.tar.gz	171207_NASA_SLP_7401_EYE1_Fraction*.RAW	171207_NASA_SLP_7401_EYE1_Fraction*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-162_proteomics_RR3_EYE_processed.zip	171207_NASA_SLP_7401_EYE1_PSMs.txt	171207_NASA_SLP_7401_EYE1_ProteinGroups.txt	171207_NASA_SLP_7401_EYE1_PeptideGroups.txt	171207_NASA_SLP_7401_EYE1_Proteins.txt
Mmus_BAL-TAL_EYE_BSL_Rep2_B3	right eye			BSL3	protein extraction	RR3_BSL_B3_R EYE_PRT	TMT isobaric labeling	RR3_BSL_B3_R EYE_PRT_130C	130C			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)			Reverse Phase Liquid Chromatography	Electrospray Ionization			CID/HCD	Ion Trap & Orbitrap			MS3 isobaric ten plex analysis	EYE1	GLDS-162_proteomics_RR3_EYE_Proteomics_Raw.tar.gz	171207_NASA_SLP_7401_EYE1_Fraction*.RAW	171207_NASA_SLP_7401_EYE1_Fraction*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-162_proteomics_RR3_EYE_processed.zip	171207_NASA_SLP_7401_EYE1_PSMs.txt	171207_NASA_SLP_7401_EYE1_ProteinGroups.txt	171207_NASA_SLP_7401_EYE1_PeptideGroups.txt	171207_NASA_SLP_7401_EYE1_Proteins.txt
Mmus_BAL-TAL_EYE_BSL_Rep3_B4	right eye			BSL4	protein extraction	RR3_BSL_B4_R EYE_PRT	TMT isobaric labeling	RR3_BSL_B4_R EYE_PRT_129C	129C			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)			Reverse Phase Liquid Chromatography	Electrospray Ionization			CID/HCD	Ion Trap & Orbitrap			MS3 isobaric ten plex analysis	EYE2	GLDS-162_proteomics_RR3_EYE_Proteomics_Raw.tar.gz	171207_NASA_SLP_7401_EYE2_Fraction*.RAW	171207_NASA_SLP_7401_EYE2_Fraction*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-162_proteomics_RR3_EYE_processed.zip	171207_NASA_SLP_7401_EYE2_PSMs.txt	171207_NASA_SLP_7401_EYE2_ProteinGroups.txt	171207_NASA_SLP_7401_EYE2_PeptideGroups.txt	171207_NASA_SLP_7401_EYE2_Proteins.txt
Mmus_BAL-TAL_EYE_BSL_Rep4_B5	right eye			BSL5	protein extraction	RR3_BSL_B5_R EYE_PRT	TMT isobaric labeling	RR3_BSL_B5_R EYE_PRT_130N	130N			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)			Reverse Phase Liquid Chromatography	Electrospray Ionization			CID/HCD	Ion Trap & Orbitrap			MS3 isobaric ten plex analysis	EYE2	GLDS-162_proteomics_RR3_EYE_Proteomics_Raw.tar.gz	171207_NASA_SLP_7401_EYE2_Fraction*.RAW	171207_NASA_SLP_7401_EYE2_Fraction*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-162_proteomics_RR3_EYE_processed.zip	171207_NASA_SLP_7401_EYE2_PSMs.txt	171207_NASA_SLP_7401_EYE2_ProteinGroups.txt	171207_NASA_SLP_7401_EYE2_PeptideGroups.txt	171207_NASA_SLP_7401_EYE2_Proteins.txt
Mmus_BAL-TAL_EYE_BSL_Rep6_B6	right eye			BSL6	protein extraction	RR3_BSL_B6_R EYE_PRT	TMT isobaric labeling	RR3_BSL_B6_R EYE_PRT_130C	130C			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)			Reverse Phase Liquid Chromatography	Electrospray Ionization			CID/HCD	Ion Trap & Orbitrap			MS3 isobaric ten plex analysis	EYE2	GLDS-162_proteomics_RR3_EYE_Proteomics_Raw.tar.gz	171207_NASA_SLP_7401_EYE2_Fraction*.RAW	171207_NASA_SLP_7401_EYE2_Fraction*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-162_proteomics_RR3_EYE_processed.zip	171207_NASA_SLP_7401_EYE2_PSMs.txt	171207_NASA_SLP_7401_EYE2_ProteinGroups.txt	171207_NASA_SLP_7401_EYE2_PeptideGroups.txt	171207_NASA_SLP_7401_EYE2_Proteins.txt
Mmus_BAL-TAL_EYE_GC_Rep1_G1	right eye			GC1	protein extraction	RR3_GC_G1_R EYE_PRT	TMT isobaric labeling	RR3_GC_G1_R EYE_PRT_126	126			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)			Reverse Phase Liquid Chromatography	Electrospray Ionization			CID/HCD	Ion Trap & Orbitrap			MS3 isobaric ten plex analysis	EYE1	GLDS-162_proteomics_RR3_EYE_Proteomics_Raw.tar.gz	171207_NASA_SLP_7401_EYE1_Fraction*.RAW	171207_NASA_SLP_7401_EYE1_Fraction*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-162_proteomics_RR3_EYE_processed.zip	171207_NASA_SLP_7401_EYE1_PSMs.txt	171207_NASA_SLP_7401_EYE1_ProteinGroups.txt	171207_NASA_SLP_7401_EYE1_PeptideGroups.txt	171207_NASA_SLP_7401_EYE1_Proteins.txt
Mmus_BAL-TAL_EYE_GC_Rep2_G2	right eye			GC2	protein extraction	RR3_GC_G2_R EYE_PRT	TMT isobaric labeling	RR3_GC_G2_R EYE_PRT_127N	127N			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)			Reverse Phase Liquid Chromatography	Electrospray Ionization			CID/HCD	Ion Trap & Orbitrap			MS3 isobaric ten plex analysis	EYE1	GLDS-162_proteomics_RR3_EYE_Proteomics_Raw.tar.gz	171207_NASA_SLP_7401_EYE1_Fraction*.RAW	171207_NASA_SLP_7401_EYE1_Fraction*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-162_proteomics_RR3_EYE_processed.zip	171207_NASA_SLP_7401_EYE1_PSMs.txt	171207_NASA_SLP_7401_EYE1_ProteinGroups.txt	171207_NASA_SLP_7401_EYE1_PeptideGroups.txt	171207_NASA_SLP_7401_EYE1_Proteins.txt
Mmus_BAL-TAL_EYE_GC_Rep5_G3	right eye			GC3	protein extraction	RR3_GC_G3_R EYE_PRT	TMT isobaric labeling	RR3_GC_G3_R EYE_PRT_127C	127C			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)			Reverse Phase Liquid Chromatography	Electrospray Ionization			CID/HCD	Ion Trap & Orbitrap			MS3 isobaric ten plex analysis	EYE1	GLDS-162_proteomics_RR3_EYE_Proteomics_Raw.tar.gz	171207_NASA_SLP_7401_EYE1_Fraction*.RAW	171207_NASA_SLP_7401_EYE1_Fraction*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-162_proteomics_RR3_EYE_processed.zip	171207_NASA_SLP_7401_EYE1_PSMs.txt	171207_NASA_SLP_7401_EYE1_ProteinGroups.txt	171207_NASA_SLP_7401_EYE1_PeptideGroups.txt	171207_NASA_SLP_7401_EYE1_Proteins.txt
Mmus_BAL-TAL_EYE_GC_Rep3_G4	right eye			GC4	protein extraction	RR3_GC_G4_R EYE_PRT	TMT isobaric labeling	RR3_GC_G4_R EYE_PRT_126	126			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)			Reverse Phase Liquid Chromatography	Electrospray Ionization			CID/HCD	Ion Trap & Orbitrap			MS3 isobaric ten plex analysis	EYE2	GLDS-162_proteomics_RR3_EYE_Proteomics_Raw.tar.gz	171207_NASA_SLP_7401_EYE2_Fraction*.RAW	171207_NASA_SLP_7401_EYE2_Fraction*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-162_proteomics_RR3_EYE_processed.zip	171207_NASA_SLP_7401_EYE2_PSMs.txt	171207_NASA_SLP_7401_EYE2_ProteinGroups.txt	171207_NASA_SLP_7401_EYE2_PeptideGroups.txt	171207_NASA_SLP_7401_EYE2_Proteins.txt
