Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Comment[Animal Source]	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Diet]	Term Source REF	Term Accession Number	Comment[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[Launch Mission]	Protocol REF	Parameter Value[Habitat]	Term Source REF	Term Accession Number	Parameter Value[treatment]	Term Source REF	Term Accession Number	Parameter Value[Duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Source Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[light cycle]	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[Source description]	Comment[Initiation Date]	Comment[Completion Date]	Comment[Dissection date]	Comment[Original Submitted Sample Name]	Comment[Sample Name Description]	Comment[ALSDA Biospecimen Source ID]	Comment[ALSDA Biospecimen Subject ID]	Protocol REF	Parameter Value[ionizing radiation]	Term Source REF	Term Accession Number	Parameter Value[vehicle]	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number
RR3_BSL_B1	Mmus_BAL-TAL_EYE_BSL_Rep5_B1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Basal Control			Not Applicable	animal husbandry	Vivarium Cage			Non-treated			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			20.7	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	8-Apr-16	9-Apr-16	13-Sep-16	RR3_BSL_B1_EYE	Basal 1 eye 	5408	551	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_BSL_B2	Mmus_BAL-TAL_EYE_BSL_Rep1_B2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Basal Control			Not Applicable	animal husbandry	Vivarium Cage			Non-treated			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			18.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	8-Apr-16	9-Apr-16	13-Sep-16	RR3_BSL_B2_EYE	Basal 2 eye 	5408	551	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_BSL_B3	Mmus_BAL-TAL_EYE_BSL_Rep2_B3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Basal Control			Not Applicable	animal husbandry	Vivarium Cage			Non-treated			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			18.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	8-Apr-16	9-Apr-16	13-Sep-16	RR3_BSL_B3_EYE	Basal 3 eye 	5408	551	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_BSL_B4	Mmus_BAL-TAL_EYE_BSL_Rep3_B4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Basal Control			Not Applicable	animal husbandry	Vivarium Cage			Non-treated			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			19.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	8-Apr-16	9-Apr-16	13-Sep-16	RR3_BSL_B4_EYE	Basal 4 eye 	5408	551	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_BSL_B5	Mmus_BAL-TAL_EYE_BSL_Rep4_B5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Basal Control			Not Applicable	animal husbandry	Vivarium Cage			Non-treated			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			17.9	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	8-Apr-16	9-Apr-16	14-Sep-16	RR3_BSL_B5_EYE	Basal 5 eye 	5408	551	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_BSL_B6	Mmus_BAL-TAL_EYE_BSL_Rep6_B6	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Basal Control			Not Applicable	animal husbandry	Vivarium Cage			Non-treated			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			19.4	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	8-Apr-16	9-Apr-16	14-Sep-16	RR3_BSL_B6_EYE	Basal 6 eye 	5408	551	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_BSL_B7	Mmus_BAL-TAL_EYE_BSL_Rep5_B7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Basal Control			Not Applicable	animal husbandry	Vivarium Cage			Non-treated			0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			20.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	8-Apr-16	9-Apr-16	14-Sep-16	RR3_BSL_B7_EYE	Basal 7 eye 	5408	551	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_FLT_F1	Mmus_BAL-TAL_EYE_FLT_Rep1_F1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SpaceX-3	animal husbandry	Rodent Habitat			Sham treated (control Ig-G injection)			39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			19.5	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	8-Apr-16	17-May-16	13-Sep-16	RR3_FLT_F1_EYE	Flight 1 eye 	5407	550	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	8.97	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.231	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	0.231	day	UO	http://purl.obolibrary.org/obo/UO_0000033	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
RR3_FLT_F2	Mmus_BAL-TAL_EYE_FLT_Rep2_F2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SpaceX-3	animal husbandry	Rodent Habitat			Sham treated (control Ig-G injection)			39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			20.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	8-Apr-16	17-May-16	13-Sep-16	RR3_FLT_F2_EYE	Flight 2 eye 	5407	550	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	8.97	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.231	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	0.231	day	UO	http://purl.obolibrary.org/obo/UO_0000033	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
RR3_FLT_F3	Mmus_BAL-TAL_EYE_FLT_Rep3_F3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SpaceX-3	animal husbandry	Rodent Habitat			Sham treated (control Ig-G injection)			40	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			20.4	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	8-Apr-16	18-May-16	14-Sep-16	RR3_FLT_F3_EYE	Flight 3 eye 	5407	550	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	9.2	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.231	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	0.231	day	UO	http://purl.obolibrary.org/obo/UO_0000033	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
