"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Parameter Value[instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[chromatography]"	"Parameter Value[dissociation]"	"Parameter Value[analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Peptide Assignment File"	"Protein Assignment File"	"Derived Spectral Data File"
"150615ZV_P01"	"extraction"	"150615ZV_P01"	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"Ultimate 3000 Nano LC System"	"high-energy collisional dissociation (HCD)"	"Ultra-high-field Orbitrap mass analyzer"	""	""	"MS/MS"	"GLDS_209_proteomics_150615ZV_P01_*.raw"	"data transformation"	"MaxQuant"	"GLDS-209_proteomics_allPeptides.txt"	"GLDS-209_proteomics_proteinGroups.txt"	"GLDS_209_proteomics_150615ZV_P01_*.mzML.gz"
"150615ZV_P02"	"extraction"	"150615ZV_P02"	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"Ultimate 3000 Nano LC System"	"high-energy collisional dissociation (HCD)"	"Ultra-high-field Orbitrap mass analyzer"	""	""	"MS/MS"	"GLDS_209_proteomics_150615ZV_P02_*.raw"	"data transformation"	"MaxQuant"	"GLDS-209_proteomics_allPeptides.txt"	"GLDS-209_proteomics_proteinGroups.txt"	"GLDS_209_proteomics_150615ZV_P02_*.mzML.gz"
"150615ZV_P03"	"extraction"	"150615ZV_P03"	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"Ultimate 3000 Nano LC System"	"high-energy collisional dissociation (HCD)"	"Ultra-high-field Orbitrap mass analyzer"	""	""	"MS/MS"	"GLDS_209_proteomics_150615ZV_P03_*.raw"	"data transformation"	"MaxQuant"	"GLDS-209_proteomics_allPeptides.txt"	"GLDS-209_proteomics_proteinGroups.txt"	"GLDS_209_proteomics_150615ZV_P03_*.mzML.gz"
"150615ZV_f01"	"extraction"	"150615ZV_f01"	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"Ultimate 3000 Nano LC System"	"high-energy collisional dissociation (HCD)"	"Ultra-high-field Orbitrap mass analyzer"	""	""	"MS/MS"	"GLDS_209_proteomics_150615ZV_f01_*.raw"	"data transformation"	"MaxQuant"	"GLDS-209_proteomics_allPeptides.txt"	"GLDS-209_proteomics_proteinGroups.txt"	"GLDS_209_proteomics_150615ZV_f01_*.mzML.gz"
"150615ZV_f02"	"extraction"	"150615ZV_f02"	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"Ultimate 3000 Nano LC System"	"high-energy collisional dissociation (HCD)"	"Ultra-high-field Orbitrap mass analyzer"	""	""	"MS/MS"	"GLDS_209_proteomics_150615ZV_f02_*.raw"	"data transformation"	"MaxQuant"	"GLDS-209_proteomics_allPeptides.txt"	"GLDS-209_proteomics_proteinGroups.txt"	"GLDS_209_proteomics_150615ZV_f02_*.mzML.gz"
"150615ZV_f03"	"extraction"	"150615ZV_f03"	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"Ultimate 3000 Nano LC System"	"high-energy collisional dissociation (HCD)"	"Ultra-high-field Orbitrap mass analyzer"	""	""	"MS/MS"	"GLDS_209_proteomics_150615ZV_f03_*.raw"	"data transformation"	"MaxQuant"	"GLDS-209_proteomics_allPeptides.txt"	"GLDS-209_proteomics_proteinGroups.txt"	"GLDS_209_proteomics_150615ZV_f03_*.mzML.gz"
"150615ZV_f04"	"extraction"	"150615ZV_f04"	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"Ultimate 3000 Nano LC System"	"high-energy collisional dissociation (HCD)"	"Ultra-high-field Orbitrap mass analyzer"	""	""	"MS/MS"	"GLDS_209_proteomics_150615ZV_f04_*.raw"	"data transformation"	"MaxQuant"	"GLDS-209_proteomics_allPeptides.txt"	"GLDS-209_proteomics_proteinGroups.txt"	"GLDS_209_proteomics_150615ZV_f04_*.mzML.gz"
"150615ZV_k01"	"extraction"	"150615ZV_k01"	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"Ultimate 3000 Nano LC System"	"high-energy collisional dissociation (HCD)"	"Ultra-high-field Orbitrap mass analyzer"	""	""	"MS/MS"	"GLDS_209_proteomics_150615ZV_k01_*.raw"	"data transformation"	"MaxQuant"	"GLDS-209_proteomics_allPeptides.txt"	"GLDS-209_proteomics_proteinGroups.txt"	"GLDS_209_proteomics_150615ZV_k01_*.mzML.gz"
"150615ZV_k02"	"extraction"	"150615ZV_k02"	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"Ultimate 3000 Nano LC System"	"high-energy collisional dissociation (HCD)"	"Ultra-high-field Orbitrap mass analyzer"	""	""	"MS/MS"	"GLDS_209_proteomics_150615ZV_k02_*.raw"	"data transformation"	"MaxQuant"	"GLDS-209_proteomics_allPeptides.txt"	"GLDS-209_proteomics_proteinGroups.txt"	"GLDS_209_proteomics_150615ZV_k02_*.mzML.gz"
"150615ZV_k03"	"extraction"	"150615ZV_k03"	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"Ultimate 3000 Nano LC System"	"high-energy collisional dissociation (HCD)"	"Ultra-high-field Orbitrap mass analyzer"	""	""	"MS/MS"	"GLDS_209_proteomics_150615ZV_k03_*.raw"	"data transformation"	"MaxQuant"	"GLDS-209_proteomics_allPeptides.txt"	"GLDS-209_proteomics_proteinGroups.txt"	"GLDS_209_proteomics_150615ZV_k03_*.mzML.gz"
