Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Dissection Timeline]	Term Source REF	Term Accession Number	Factor Value[Absorbed Radiation Dose]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[sex]	Term Source REF	Term Accession Number	Protocol REF	Comment[Average Absorbed Dose (SPDs only - mGy)]	Comment[Low LET Average Abs. Dose (SPDs only - mGy)]	Comment[High LET Average Abs. Dose (SPDs only - mGy)]	Comment[Abs. Dose (GCR mGy) RD3-B3]	Comment[Abs. Dose (IRB/SAA mGy) RD3-B3]	Comment[Abs. Dose (ORB mGy) RD3-B3]	Comment[Abs. Dose (Total mGy) RD3-B3]	Comment[Low LET Average Abs. Dose (all detectors - mGy)]	Comment[High LET Average Abs. Dose (all detectors - mGy)]	Comment[Low LET Min. Abs. Dose (all detectors - mGy)]	Comment[Low LET Max. Abs. Dose (all detectors - mGy)]	Comment[High LET Min. Abs. Dose (all detectors - mGy)]	Comment[High LET Max. Abs. Dose (all detectors - mGy)]	Parameter Value[Storage Temperature Setting]	Unit	Term Source REF	Term Accession Number
150615ZV_P01	150615ZV_P01	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6			WT	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	seven days after landing			30.07	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	mouse habitation protocol	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	sample collection	30.01	26.37	3.64	3.07	27.1	0.13	30.3	26.54	3.53	16.3	37.82	2.51	4.51	-80	Degree Celsius		
150615ZV_P02	150615ZV_P02	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6			WT	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	seven days after landing			30.07	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	mouse habitation protocol	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	sample collection	30.01	26.37	3.64	3.07	27.1	0.13	30.3	26.54	3.53	16.3	37.82	2.51	4.51	-80	Degree Celsius		
150615ZV_P03	150615ZV_P03	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6			WT	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	seven days after landing			30.07	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	mouse habitation protocol	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	sample collection	30.01	26.37	3.64	3.07	27.1	0.13	30.3	26.54	3.53	16.3	37.82	2.51	4.51	-80	Degree Celsius		
150615ZV_f01	150615ZV_f01	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6			WT	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	13 - 25 h after landing			30.07	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	mouse habitation protocol	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	sample collection	30.01	26.37	3.64	3.07	27.1	0.13	30.3	26.54	3.53	16.3	37.82	2.51	4.51	-80	Degree Celsius		
150615ZV_f02	150615ZV_f02	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6			WT	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	13 - 25 h after landing			30.07	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	mouse habitation protocol	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	sample collection	30.01	26.37	3.64	3.07	27.1	0.13	30.3	26.54	3.53	16.3	37.82	2.51	4.51	-80	Degree Celsius		
150615ZV_f03	150615ZV_f03	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6			WT	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	13 - 25 h after landing			30.07	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	mouse habitation protocol	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	sample collection	30.01	26.37	3.64	3.07	27.1	0.13	30.3	26.54	3.53	16.3	37.82	2.51	4.51	-80	Degree Celsius		
150615ZV_f04	150615ZV_f04	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6			WT	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	13 - 25 h after landing			30.07	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	mouse habitation protocol	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	sample collection	30.01	26.37	3.64	3.07	27.1	0.13	30.3	26.54	3.53	16.3	37.82	2.51	4.51	-80	Degree Celsius		
150615ZV_k01	150615ZV_k01	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6			WT	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Ground Control			13 - 25 h after completion			0	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	mouse habitation protocol	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	sample collection	0	0	0	0	0	0	0	0	0	0	0	0	0	-80	Degree Celsius		
150615ZV_k02	150615ZV_k02	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6			WT	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Ground Control			13 - 25 h after completion			0	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	mouse habitation protocol	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	sample collection	0	0	0	0	0	0	0	0	0	0	0	0	0	-80	Degree Celsius		
150615ZV_k03	150615ZV_k03	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6			WT	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Ground Control			13 - 25 h after completion			0	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	mouse habitation protocol	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	sample collection	0	0	0	0	0	0	0	0	0	0	0	0	0	-80	Degree Celsius		
