"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Parameter Value[instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[chromatography]"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[dissociation]"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Derived Spectral Data File"
"cosmonaut 1 before spaceflight"	"extraction"	"cosmonaut 1 before spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 1 after spaceflight"	"extraction"	"cosmonaut 1 after spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 2 before spaceflight"	"extraction"	"cosmonaut 2 before spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 2 after spaceflight"	"extraction"	"cosmonaut 2 after spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 3 before spaceflight"	"extraction"	"cosmonaut 3 before spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 3 after spaceflight"	"extraction"	"cosmonaut 3 after spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 4 before spaceflight"	"extraction"	"cosmonaut 4 before spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 4 after spaceflight"	"extraction"	"cosmonaut 4 after spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 5 before spaceflight"	"extraction"	"cosmonaut 5 before spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 5 after spaceflight"	"extraction"	"cosmonaut 5 after spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 6 before spaceflight"	"extraction"	"cosmonaut 6 before spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 6 after spaceflight"	"extraction"	"cosmonaut 6 after spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
"cosmonaut 7 before spaceflight"	"extraction"	"cosmonaut 7 before spaceflight"	"mass spectrometry"	"maXis 4G"	"MS"	"http://purl.obolibrary.org/obo/MS_1002279"	"nano-HPLC Dionex Ultimate3000"	"nanospray ion source"	""	""	"fragmentation"	"proteomics"	"GLDS-353_proteomics_archived1.raw.zip"	"data transformation"	"GLDS-353_proteomics_Maxquant.zip"
