Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Factor Value[Age]	Unit	Term Source REF	Term Accession Number	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Sex]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Habitat]	Parameter Value[Enrichment material]	Term Source REF	Term Accession Number	Parameter Value[Duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Cycle]	Parameter Value[Recovery Duration on Earth]	Unit	Term Source REF	Term Accession Number	Parameter Value[Diet]	Parameter Value[Feeding Schedule]	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[RFID]	Comment[Date of Birth]	Comment[LAR Animal Receipt Data at Scripps]	Comment[Euthanasia Date]	Comment[Dissection Date]	Protocol REF	Parameter Value[ionizing radiation]	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[vehicle]	Term Source REF	Term Accession Number
RRRM-2_FL_LAR_01	RRRM2_Femur_BM_FLT_LAR_OLD_FO1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	29	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Bone marrow of femur	FMA	http://purl.org/sig/ont/fma/fma303348	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	Hut			32	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	24	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Sample Collection	gas anesthesia, cardiac puncture blood draw (exsanguination) and double thoracotomy			slow freezing 1C/min			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E291A666E	31-Dec-2018	29-Aug-2019	19-Sep-2019	19-Sep-2019	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	10.428	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.316	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040
RRRM-2_FL_LAR_04	RRRM2_Femur_BM_FLT_LAR_OLD_FO4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	29	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Bone marrow of femur	FMA	http://purl.org/sig/ont/fma/fma303348	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	Hut			32	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	24	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Sample Collection	gas anesthesia, cardiac puncture blood draw (exsanguination) and double thoracotomy			slow freezing 1C/min			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2932791B	31-Dec-2018	29-Aug-2019	19-Sep-2019	19-Sep-2019	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	10.428	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.316	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040
RRRM-2_FL_LAR_16	RRRM2_Femur_BM_FLT_LAR_OLD_FO16	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	29	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Bone marrow of femur	FMA	http://purl.org/sig/ont/fma/fma303348	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	Hut			32	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	24	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Sample Collection	gas anesthesia, cardiac puncture blood draw (exsanguination) and double thoracotomy			slow freezing 1C/min			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E274A563F	31-Dec-2018	29-Aug-2019	19-Sep-2019	19-Sep-2019	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	10.428	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.316	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040
RRRM-2_FL_LAR_19	RRRM2_Femur_BM_FLT_LAR_OLD_FO19	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	29	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Bone marrow of femur	FMA	http://purl.org/sig/ont/fma/fma303348	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	Hut			32	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	24	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Sample Collection	gas anesthesia, cardiac puncture blood draw (exsanguination) and double thoracotomy			slow freezing 1C/min			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2B3E3431	31-Dec-2018	29-Aug-2019	19-Sep-2019	19-Sep-2019	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	10.428	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.316	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040
RRRM-2_FL_LAR_06	RRRM2_Femur_BM_FLT_LAR_YNG_FY6	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Bone marrow of femur	FMA	http://purl.org/sig/ont/fma/fma303348	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	Hut			32	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	24	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Sample Collection	gas anesthesia, cardiac puncture blood draw (exsanguination) and double thoracotomy			slow freezing 1C/min			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2705017C	29-Apr-2019	29-Aug-2019	19-Sep-2019	19-Sep-2019	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	10.428	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.316	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040
RRRM-2_FL_LAR_09	RRRM2_Femur_BM_FLT_LAR_YNG_FY9	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Bone marrow of femur	FMA	http://purl.org/sig/ont/fma/fma303348	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	Hut			32	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	24	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Sample Collection	gas anesthesia, cardiac puncture blood draw (exsanguination) and double thoracotomy			slow freezing 1C/min			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E13645D4C	29-Apr-2019	29-Aug-2019	19-Sep-2019	19-Sep-2019	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	10.428	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.316	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040
RRRM-2_FL_LAR_11	RRRM2_Femur_BM_FLT_LAR_YNG_FY11	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Bone marrow of femur	FMA	http://purl.org/sig/ont/fma/fma303348	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	Hut			32	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	24	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Sample Collection	gas anesthesia, cardiac puncture blood draw (exsanguination) and double thoracotomy			slow freezing 1C/min			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E3E0B5C70	29-Apr-2019	29-Aug-2019	19-Sep-2019	19-Sep-2019	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	10.428	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.316	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040
RRRM-2_FL_LAR_14	RRRM2_Femur_BM_FLT_LAR_YNG_FY14	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Bone marrow of femur	FMA	http://purl.org/sig/ont/fma/fma303348	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	Hut			32	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	24	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Sample Collection	gas anesthesia, cardiac puncture blood draw (exsanguination) and double thoracotomy			slow freezing 1C/min			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E38180712	29-Apr-2019	29-Aug-2019	19-Sep-2019	19-Sep-2019	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	10.428	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.316	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040
RRRM-2_HGC_LAR_11	RRRM2_Femur_BM_GC_LAR_OLD_GO11	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	29	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Bone marrow of femur	FMA	http://purl.org/sig/ont/fma/fma303348	Ground Control			Animal Husbandry	Rodent Habitat	Hut			32	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	24	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Sample Collection	gas anesthesia, cardiac puncture blood draw (exsanguination) and double thoracotomy			slow freezing 1C/min			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E381A4F4A	31-Dec-2018	02-Sep-2019	18-Sep-2019	18-Sep-2019	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RRRM-2_HGC_LAR_14	RRRM2_Femur_BM_GC_LAR_OLD_GO14	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	29	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Bone marrow of femur	FMA	http://purl.org/sig/ont/fma/fma303348	Ground Control			Animal Husbandry	Rodent Habitat	Hut			32	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	24	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Sample Collection	gas anesthesia, cardiac puncture blood draw (exsanguination) and double thoracotomy			slow freezing 1C/min			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E3D3C7616	31-Dec-2018	02-Sep-2019	18-Sep-2019	18-Sep-2019	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
