Sample Name	Protocol REF	Parameter Value[Type Of Cytometer]	Parameter Value[Flow Solution]	Protocol REF	Parameter Value[Marker Type]	Parameter Value[Molecule Or Structure Labeled]	Protocol REF	Parameter Value[Primary Fluorophore (If Conjugated)]	Parameter Value[Primary Company]	Parameter Value[Primary Duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Primary Temperature]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Original Submitted Files]	Parameter Value[Transformed Files]
1_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
2_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
3_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
4_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
5_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
6_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
7_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
8_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
9_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
10_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
