Sample Name	Protocol REF	Parameter Value[Seed Sanitization]	Parameter Value[Substrate Type]	Parameter Value[Mean Germination Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Number Of Seeds Per Container]	Protocol REF	Parameter Value[Age At Sample Harvest]	Unit	Term Source REF	Term Accession Number	Parameter Value[Total Wet Biomass]	Unit	Term Source REF	Term Accession Number
Variety8_GrandRapids_exposedLunarSoil_005_100mg	Seed Germination	buffered hypochlorite-Triton X-100	agar media	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	50	Biomass Assesment	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	0.267	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022
Variety8_GrandRapids_exposedLunarSoil_005_500mg	Seed Germination	buffered hypochlorite-Triton X-100	agar media	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	50	Biomass Assesment	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	.027	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022
Variety8_GrandRapids_exposedLunarSoil_005_2000mg	Seed Germination	buffered hypochlorite-Triton X-100	agar media	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	50	Biomass Assesment	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	.016	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022
Variety9_FordHook_exposedLunarSoil_005_100mg	Seed Germination	buffered hypochlorite-Triton X-100	agar media	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	50	Biomass Assesment	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	.206	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022
Variety9_FordHook_exposedLunarSoil_005_500mg	Seed Germination	buffered hypochlorite-Triton X-100	agar media	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	50	Biomass Assesment	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	.07	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022
Variety9_FordHook_exposedLunarSoil_005_2000mg	Seed Germination	buffered hypochlorite-Triton X-100	agar media	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	50	Biomass Assesment	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	.053	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022
Variety11_OakLeaf_exposedLunarSoil_005_100mg	Seed Germination	buffered hypochlorite-Triton X-100	agar media	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	50	Biomass Assesment	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	.406	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022
Variety11_OakLeaf_exposedLunarSoil_005_500mg	Seed Germination	buffered hypochlorite-Triton X-100	agar media	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	50	Biomass Assesment	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	.097	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022
Variety11_OakLeaf_exposedLunarSoil_005_2000mg	Seed Germination	buffered hypochlorite-Triton X-100	agar media	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	50	Biomass Assesment	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	.041	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022
Variety17_PrizeHead_exposedLunarSoil_005_100mg	Seed Germination	buffered hypochlorite-Triton X-100	agar media	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	50	Biomass Assesment	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	.162	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022
Variety17_PrizeHead_exposedLunarSoil_005_500mg	Seed Germination	buffered hypochlorite-Triton X-100	agar media	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	50	Biomass Assesment	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	.105	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022
Variety17_PrizeHead_exposedLunarSoil_005_2000mg	Seed Germination	buffered hypochlorite-Triton X-100	agar media	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	50	Biomass Assesment	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	.074	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022
