Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[Seed Source]	Factor Value[Strain]	Characteristics[Soil Type]	Factor Value[Treatment]	Unit	Term Source REF	Term Accession Number	Characteristics[cell type]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Parameter Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Parameter Value[Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Quantity of non-treatment medium]	Unit	Term Source REF	Term Accession Number	Parameter Value[light source]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
Variety8_GrandRapids_exposedLunarSoil_005_100mg	Variety8_GrandRapids_exposedLunarSoil_005_100mg	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Burpees	Grand Rapids	Simulated lunar soil lot #005	100	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Plant Leaves	MESH	http://purl.bioontology.org/ontology/MESH/D018515	seed sterilization	growth protocol	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	SV Basal	24	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1.240	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	fluorescent light	OSD	https://osdr.nasa.gov/	treatment protocol	sample collection	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
Variety8_GrandRapids_exposedLunarSoil_005_500mg	Variety8_GrandRapids_exposedLunarSoil_005_500mg	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Burpees	Grand Rapids	Simulated lunar soil lot #005	500	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Plant Leaves	MESH	http://purl.bioontology.org/ontology/MESH/D018515	seed sterilization	growth protocol	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	SV Basal	24	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1.240	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	fluorescent light	OSD	https://osdr.nasa.gov/	treatment protocol	sample collection	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
Variety8_GrandRapids_exposedLunarSoil_005_2000mg	Variety8_GrandRapids_exposedLunarSoil_005_2000mg	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Burpees	Grand Rapids	Simulated lunar soil lot #005	2000	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Plant Leaves	MESH	http://purl.bioontology.org/ontology/MESH/D018515	seed sterilization	growth protocol	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	SV Basal	24	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1.240	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	fluorescent light	OSD	https://osdr.nasa.gov/	treatment protocol	sample collection	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
Variety9_FordHook_exposedLunarSoil_005_100mg	Variety9_FordHook_exposedLunarSoil_005_100mg	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Burpees	Ford Hook	Simulated lunar soil lot #005	100	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Plant Leaves	MESH	http://purl.bioontology.org/ontology/MESH/D018515	seed sterilization	growth protocol	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	SV Basal	24	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1.005	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	fluorescent light	OSD	https://osdr.nasa.gov/	treatment protocol	sample collection	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
Variety9_FordHook_exposedLunarSoil_005_500mg	Variety9_FordHook_exposedLunarSoil_005_500mg	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Burpees	Ford Hook	Simulated lunar soil lot #005	500	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Plant Leaves	MESH	http://purl.bioontology.org/ontology/MESH/D018515	seed sterilization	growth protocol	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	SV Basal	24	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1.005	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	fluorescent light	OSD	https://osdr.nasa.gov/	treatment protocol	sample collection	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
Variety9_FordHook_exposedLunarSoil_005_2000mg	Variety9_FordHook_exposedLunarSoil_005_2000mg	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Burpees	Ford Hook	Simulated lunar soil lot #005	2000	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Plant Leaves	MESH	http://purl.bioontology.org/ontology/MESH/D018515	seed sterilization	growth protocol	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	SV Basal	24	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1.005	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	fluorescent light	OSD	https://osdr.nasa.gov/	treatment protocol	sample collection	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
Variety11_OakLeaf_exposedLunarSoil_005_100mg	Variety11_OakLeaf_exposedLunarSoil_005_100mg	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Burpees	Oak Leaf	Simulated lunar soil lot #005	100	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Plant Leaves	MESH	http://purl.bioontology.org/ontology/MESH/D018515	seed sterilization	growth protocol	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	SV Basal	24	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1.115	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	fluorescent light	OSD	https://osdr.nasa.gov/	treatment protocol	sample collection	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
Variety11_OakLeaf_exposedLunarSoil_005_500mg	Variety11_OakLeaf_exposedLunarSoil_005_500mg	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Burpees	Oak Leaf	Simulated lunar soil lot #005	500	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Plant Leaves	MESH	http://purl.bioontology.org/ontology/MESH/D018515	seed sterilization	growth protocol	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	SV Basal	24	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1.115	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	fluorescent light	OSD	https://osdr.nasa.gov/	treatment protocol	sample collection	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
Variety11_OakLeaf_exposedLunarSoil_005_2000mg	Variety11_OakLeaf_exposedLunarSoil_005_2000mg	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Burpees	Oak Leaf	Simulated lunar soil lot #005	2000	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Plant Leaves	MESH	http://purl.bioontology.org/ontology/MESH/D018515	seed sterilization	growth protocol	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	SV Basal	24	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1.115	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	fluorescent light	OSD	https://osdr.nasa.gov/	treatment protocol	sample collection	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
Variety17_PrizeHead_exposedLunarSoil_005_100mg	Variety17_PrizeHead_exposedLunarSoil_005_100mg	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Burpees	Prize Head	Simulated lunar soil lot #005	100	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Plant Leaves	MESH	http://purl.bioontology.org/ontology/MESH/D018515	seed sterilization	growth protocol	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	SV Basal	24	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.945	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	fluorescent light	OSD	https://osdr.nasa.gov/	treatment protocol	sample collection	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
