Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Characteristics[Cell Culture]	Term Source REF	Term Accession Number	Characteristics[cell type]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[Tissue Source]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Media Information]	Parameter Value[Growth Property]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Gas Composition]	Parameter Value[Culture Vessel]	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
MSC, Ground control, H1	GSM8438330	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Ground Control	OSD	https://osdr.nasa.gov/	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Primary Cell Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19315	Mesenchymal Stem Cells	MESH	http://purl.bioontology.org/ontology/MESH/D059630	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Bone Marrow	MESH	http://purl.bioontology.org/ontology/MESH/D001853	Growth Protocol	minimum essential medium supplemented with 16.5% fetal bovine serum	Adherent Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20216	Treatment Protocol	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5% CO2	BioCell	sample collection	RNAprotect	OSD	https://osdr.nasa.gov/	-95	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MSC, ISS microgravity, H2	GSM8438331	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Primary Cell Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19315	Mesenchymal Stem Cells	MESH	http://purl.bioontology.org/ontology/MESH/D059630	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Bone Marrow	MESH	http://purl.bioontology.org/ontology/MESH/D001853	Growth Protocol	minimum essential medium supplemented with 16.5% fetal bovine serum	Adherent Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20216	Treatment Protocol	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5% CO2	BioCell	sample collection	RNAprotect	OSD	https://osdr.nasa.gov/	-95	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MSC, Ground control, I1	GSM8438332	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Ground Control	OSD	https://osdr.nasa.gov/	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Primary Cell Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19315	Mesenchymal Stem Cells	MESH	http://purl.bioontology.org/ontology/MESH/D059630	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Bone Marrow	MESH	http://purl.bioontology.org/ontology/MESH/D001853	Growth Protocol	minimum essential medium supplemented with 16.5% fetal bovine serum	Adherent Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20216	Treatment Protocol	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5% CO2	BioCell	sample collection	RNAprotect	OSD	https://osdr.nasa.gov/	-95	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MSC, ISS microgravity, I2	GSM8438333	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Primary Cell Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19315	Mesenchymal Stem Cells	MESH	http://purl.bioontology.org/ontology/MESH/D059630	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Bone Marrow	MESH	http://purl.bioontology.org/ontology/MESH/D001853	Growth Protocol	minimum essential medium supplemented with 16.5% fetal bovine serum	Adherent Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20216	Treatment Protocol	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5% CO2	BioCell	sample collection	RNAprotect	OSD	https://osdr.nasa.gov/	-95	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MSC, Ground control, J1	GSM8438334	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Ground Control	OSD	https://osdr.nasa.gov/	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Primary Cell Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19315	Mesenchymal Stem Cells	MESH	http://purl.bioontology.org/ontology/MESH/D059630	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Bone Marrow	MESH	http://purl.bioontology.org/ontology/MESH/D001853	Growth Protocol	minimum essential medium supplemented with 16.5% fetal bovine serum	Adherent Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20216	Treatment Protocol	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5% CO2	BioCell	sample collection	RNAprotect	OSD	https://osdr.nasa.gov/	-95	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MSC, ISS microgravity, J2	GSM8438335	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Primary Cell Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19315	Mesenchymal Stem Cells	MESH	http://purl.bioontology.org/ontology/MESH/D059630	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Bone Marrow	MESH	http://purl.bioontology.org/ontology/MESH/D001853	Growth Protocol	minimum essential medium supplemented with 16.5% fetal bovine serum	Adherent Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20216	Treatment Protocol	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5% CO2	BioCell	sample collection	RNAprotect	OSD	https://osdr.nasa.gov/	-95	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MSC, Ground control, N1	GSM8438336	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Ground Control	OSD	https://osdr.nasa.gov/	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Primary Cell Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19315	Mesenchymal Stem Cells	MESH	http://purl.bioontology.org/ontology/MESH/D059630	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Bone Marrow	MESH	http://purl.bioontology.org/ontology/MESH/D001853	Growth Protocol	minimum essential medium supplemented with 16.5% fetal bovine serum	Adherent Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20216	Treatment Protocol	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5% CO2	BioCell	sample collection	RNAprotect	OSD	https://osdr.nasa.gov/	-95	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MSC, ISS microgravity, N2	GSM8438337	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Primary Cell Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19315	Mesenchymal Stem Cells	MESH	http://purl.bioontology.org/ontology/MESH/D059630	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Bone Marrow	MESH	http://purl.bioontology.org/ontology/MESH/D001853	Growth Protocol	minimum essential medium supplemented with 16.5% fetal bovine serum	Adherent Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20216	Treatment Protocol	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5% CO2	BioCell	sample collection	RNAprotect	OSD	https://osdr.nasa.gov/	-95	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MSC, Ground control, O1	GSM8438338	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Ground Control	OSD	https://osdr.nasa.gov/	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Primary Cell Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19315	Mesenchymal Stem Cells	MESH	http://purl.bioontology.org/ontology/MESH/D059630	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Bone Marrow	MESH	http://purl.bioontology.org/ontology/MESH/D001853	Growth Protocol	minimum essential medium supplemented with 16.5% fetal bovine serum	Adherent Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20216	Treatment Protocol	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5% CO2	BioCell	sample collection	RNAprotect	OSD	https://osdr.nasa.gov/	-95	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MSC, ISS microgravity, O2	GSM8438339	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Primary Cell Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19315	Mesenchymal Stem Cells	MESH	http://purl.bioontology.org/ontology/MESH/D059630	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Bone Marrow	MESH	http://purl.bioontology.org/ontology/MESH/D001853	Growth Protocol	minimum essential medium supplemented with 16.5% fetal bovine serum	Adherent Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20216	Treatment Protocol	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5% CO2	BioCell	sample collection	RNAprotect	OSD	https://osdr.nasa.gov/	-95	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MSC, Ground control, P1	GSM8438340	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Ground Control	OSD	https://osdr.nasa.gov/	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Primary Cell Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19315	Mesenchymal Stem Cells	MESH	http://purl.bioontology.org/ontology/MESH/D059630	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Bone Marrow	MESH	http://purl.bioontology.org/ontology/MESH/D001853	Growth Protocol	minimum essential medium supplemented with 16.5% fetal bovine serum	Adherent Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20216	Treatment Protocol	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5% CO2	BioCell	sample collection	RNAprotect	OSD	https://osdr.nasa.gov/	-95	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MSC, ISS microgravity, P2	GSM8438341	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Primary Cell Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19315	Mesenchymal Stem Cells	MESH	http://purl.bioontology.org/ontology/MESH/D059630	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Bone Marrow	MESH	http://purl.bioontology.org/ontology/MESH/D001853	Growth Protocol	minimum essential medium supplemented with 16.5% fetal bovine serum	Adherent Culture	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20216	Treatment Protocol	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5% CO2	BioCell	sample collection	RNAprotect	OSD	https://osdr.nasa.gov/	-95	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
