Sample Name	Protocol REF	Protocol REF	Protocol REF	Parameter Value[Aluminum]	Unit	Term Source REF	Term Accession Number	Parameter Value[Boron]	Unit	Term Source REF	Term Accession Number	Parameter Value[Barium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Calcium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Cobalt]	Unit	Term Source REF	Term Accession Number	Parameter Value[Chromium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Copper]	Unit	Term Source REF	Term Accession Number	Parameter Value[Iron]	Unit	Term Source REF	Term Accession Number	Parameter Value[Potassium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Magnesium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Manganese]	Unit	Term Source REF	Term Accession Number	Parameter Value[Molybdenum]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sodium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Nickel]	Unit	Term Source REF	Term Accession Number	Parameter Value[Phosphorus]	Unit	Term Source REF	Term Accession Number	Parameter Value[Silicon]	Unit	Term Source REF	Term Accession Number	Parameter Value[Titanium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Vanadium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Yttrium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Zinc]	Unit	Term Source REF	Term Accession Number	Parameter Value[Zirconium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Scandium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Ash Factor]	Unit	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Assay Name	Parameter Value[Supplemental Data Files]
Control_Apollo16_Climonia	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	18	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	130	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	6200	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.51	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.21	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.47	micrograms of element per gram dry weight			76	micrograms of element per gram dry weight			22300	micrograms of element per gram dry weight			2300	micrograms of element per gram dry weight			10	micrograms of element per gram dry weight			0.39	micrograms of element per gram dry weight			3000	micrograms of element per gram dry weight			0.14	micrograms of element per gram dry weight			2000	micrograms of element per gram dry weight			220	micrograms of element per gram dry weight			2.4	micrograms of element per gram dry weight				Not Available				Not Available			24	micrograms of element per gram dry weight				Not Available				Not Available			0.1311	micrograms of element per gram dry weight			Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21242 - APOLLO 16 DATA SHEETS.pdf
Lunar_Apollo16_Climonia	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	26	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	140	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	5.9	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	7600	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.34	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.33	micrograms of element per gram dry weight			0.71	micrograms of element per gram dry weight			120	micrograms of element per gram dry weight			11600	micrograms of element per gram dry weight			1800	micrograms of element per gram dry weight			12	micrograms of element per gram dry weight			0.47	micrograms of element per gram dry weight			4200	micrograms of element per gram dry weight			0.13	micrograms of element per gram dry weight			1100	micrograms of element per gram dry weight			400	micrograms of element per gram dry weight			7.2	micrograms of element per gram dry weight				Not Available				Not Available			22	micrograms of element per gram dry weight				Not Available				Not Available			0.1315	micrograms of element per gram dry weight			Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21242 - APOLLO 16 DATA SHEETS.pdf
Basalt_Apollo16_Climonia	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	11	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	160	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	6000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.34	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.33	micrograms of element per gram dry weight			1	micrograms of element per gram dry weight			82	micrograms of element per gram dry weight			16000	micrograms of element per gram dry weight			4100	micrograms of element per gram dry weight			7.2	micrograms of element per gram dry weight			0.47	micrograms of element per gram dry weight			4900	micrograms of element per gram dry weight			0.083	micrograms of element per gram dry weight			840	micrograms of element per gram dry weight			570	micrograms of element per gram dry weight			3	micrograms of element per gram dry weight				Not Available				Not Available			19	micrograms of element per gram dry weight				Not Available				Not Available			0.1181	micrograms of element per gram dry weight			Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21242 - APOLLO 16 DATA SHEETS.pdf
Earth_Apollo16_Climonia	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	16	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	94	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	13	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	6800	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.71	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.23	micrograms of element per gram dry weight			0.83	micrograms of element per gram dry weight			63	micrograms of element per gram dry weight			18000	micrograms of element per gram dry weight			970	micrograms of element per gram dry weight			5.7	micrograms of element per gram dry weight			0.42	micrograms of element per gram dry weight			5500	micrograms of element per gram dry weight			0.63	micrograms of element per gram dry weight			2400	micrograms of element per gram dry weight			560	micrograms of element per gram dry weight			3.9	micrograms of element per gram dry weight				Not Available				Not Available			19	micrograms of element per gram dry weight				Not Available				Not Available			0.1141	micrograms of element per gram dry weight			Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21242 - APOLLO 16 DATA SHEETS.pdf
Control_Apollo16_Marchantia	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	620	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	42	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1.8	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	8400	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.4	micrograms of element per gram dry weight			72	micrograms of element per gram dry weight			72	micrograms of element per gram dry weight			14300	micrograms of element per gram dry weight			2000	micrograms of element per gram dry weight			3.7	micrograms of element per gram dry weight			84	micrograms of element per gram dry weight			4700	micrograms of element per gram dry weight				Not Available			2800	micrograms of element per gram dry weight			320	micrograms of element per gram dry weight			4.9	micrograms of element per gram dry weight				Not Available				Not Available				Not Available				Not Available				Not Available			0.1959	micrograms of element per gram dry weight			Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21242 - APOLLO 16 DATA SHEETS.pdf
Lunar_Apollo16_Marchantia	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	100	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	62	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1.8	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	9500	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.5	micrograms of element per gram dry weight			27	micrograms of element per gram dry weight			160	micrograms of element per gram dry weight			12400	micrograms of element per gram dry weight			2700	micrograms of element per gram dry weight			3.9	micrograms of element per gram dry weight			110	micrograms of element per gram dry weight			5700	micrograms of element per gram dry weight				Not Available			3300	micrograms of element per gram dry weight			410	micrograms of element per gram dry weight			1.3	micrograms of element per gram dry weight				Not Available				Not Available				Not Available				Not Available				Not Available			0.1715	micrograms of element per gram dry weight			Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21242 - APOLLO 16 DATA SHEETS.pdf
Earth_Apollo16_Marchantia	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	419	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	62	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2.1	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	8800	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.5	micrograms of element per gram dry weight			22	micrograms of element per gram dry weight			96	micrograms of element per gram dry weight			16300	micrograms of element per gram dry weight			1700	micrograms of element per gram dry weight			2.7	micrograms of element per gram dry weight			71	micrograms of element per gram dry weight			5000	micrograms of element per gram dry weight				Not Available			3600	micrograms of element per gram dry weight			420	micrograms of element per gram dry weight			6.1	micrograms of element per gram dry weight				Not Available				Not Available				Not Available				Not Available				Not Available			0.1921	micrograms of element per gram dry weight			Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21242 - APOLLO 16 DATA SHEETS.pdf
Simulated_Lunar_Apollo16_Marchantia	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	67	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	62	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1.3	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	8100	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.3	micrograms of element per gram dry weight			22	micrograms of element per gram dry weight			160	micrograms of element per gram dry weight			11600	micrograms of element per gram dry weight			2100	micrograms of element per gram dry weight			2.6	micrograms of element per gram dry weight			61	micrograms of element per gram dry weight			4800	micrograms of element per gram dry weight				Not Available			3250	micrograms of element per gram dry weight			510	micrograms of element per gram dry weight			3.4	micrograms of element per gram dry weight				Not Available				Not Available				Not Available				Not Available				Not Available			0.1588	micrograms of element per gram dry weight			Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21242 - APOLLO 16 DATA SHEETS.pdf
Untreated_Apollo15_Lsativa	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	220	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	20	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	12	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3700	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	22	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	35	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	810	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	35000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3500	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	180	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	12000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	18	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4800	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	660	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	180	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	150	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.1834	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
Lunar_Apollo15_Lsativa	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	950	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	24	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	16	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3400	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1.4	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	76	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	18	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1800	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	24000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3700	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	120	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	8600	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	14	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3700	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	140	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	1.4	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	9.5	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.1361	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
