Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Characteristics[Common Name]	Term Source REF	Term Accession Number	Factor Value[Growth Medium Provenance]	Term Source REF	Term Accession Number	Characteristics[Mission]	Protocol REF	Parameter Value[relative humidity]	Unit	Term Source REF	Term Accession Number	Parameter Value[container]	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[light source]	Term Source REF	Term Accession Number	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Quantity of treatment substrate]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Number of pooled replicates]
Control_Apollo16_Climonia	Control_Apollo16_Climonia	Citrus limonia	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/171249	Rangpun			Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Untreated	Lime			Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 16	growth protocol		Not Available	OSD	https://osdr.nasa.gov/	Not Available			Not Available		Not Available			Not Available				Not Available			treatment protocol		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Not Available
Lunar_Apollo16_Climonia	Lunar_Apollo16_Climonia	Citrus limonia	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/171249	Rangpun			Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Lunar	Lime			lunar surface	RBO	http://purl.obolibrary.org/obo/RBO_00005019	Apollo 16	growth protocol		Not Available			Not Available			Not Available		Not Available			Not Available				Not Available			treatment protocol		Not Available			sample collection	Not Available
Basalt_Apollo16_Climonia	Basalt_Apollo16_Climonia	Citrus limonia	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/171249	Rangpun			Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Basalt	Lime			Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 16	growth protocol		Not Available			Not Available			Not Available		Not Available			Not Available				Not Available			treatment protocol		Not Available			sample collection	Not Available
Earth_Apollo16_Climonia	Earth_Apollo16_Climonia	Citrus limonia	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/171249	Rangpun			Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Earth	Lime			Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 16	growth protocol		Not Available			Not Available			Not Available		Not Available			Not Available				Not Available			treatment protocol		Not Available			sample collection	Not Available
Control_Apollo16_Marchantia	Control_Apollo16_Marchantia	Marchantia	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3196	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Untreated	liverwort			Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 16	growth protocol		Not Available			Not Available			Not Available		Not Available			Not Available				Not Available			treatment protocol		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Not Available
Lunar_Apollo16_Marchantia	Lunar_Apollo16_Marchantia	Marchantia	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3196	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Lunar	liverwort			lunar surface	RBO	http://purl.obolibrary.org/obo/RBO_00005019	Apollo 16	growth protocol		Not Available			Not Available			Not Available		Not Available			Not Available				Not Available			treatment protocol		Not Available			sample collection	Not Available
Earth_Apollo16_Marchantia	Earth_Apollo16_Marchantia	Marchantia	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3196	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Earth	liverwort			Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 16	growth protocol		Not Available			Not Available			Not Available		Not Available			Not Available				Not Available			treatment protocol		Not Available			sample collection	Not Available
Simulated_Lunar_Apollo16_Marchantia	Simulated_Lunar_Apollo16_Marchantia	Marchantia	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3196	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Simulated Lunar	liverwort			Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 16	growth protocol		Not Available			Not Available			Not Available		Not Available			Not Available				Not Available			treatment protocol		Not Available			sample collection	Not Available
Untreated_Apollo15_Lsativa	Untreated_Apollo15_Lsativa	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Untreated	Lettuce	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	10
Lunar_Apollo15_Lsativa	Lunar_Apollo15_Lsativa	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Lunar	Lettuce	OSD	https://osdr.nasa.gov/	lunar surface	RBO	http://purl.obolibrary.org/obo/RBO_00005019	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	10
Simulated_Lunar_Apollo15_Lsativa	Simulated_Lunar_Apollo15_Lsativa	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Oak Leaf	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Simulated Lunar	Lettuce	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	10
Iowa_Soil_Apollo15_Lsativa	Iowa_Soil_Apollo15_Lsativa	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Oak Leaf	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Iowa Soil	Lettuce	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	10
