Sample Name	Protocol REF	Parameter Value[Seed Sanitization]	Parameter Value[Substrate Type]	Parameter Value[Mean Germination Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Number Of Seeds Per Container]	Protocol REF	Parameter Value[Age At Sample Harvest]	Unit	Term Source REF	Term Accession Number	Parameter Value[Total Wet Biomass]	Unit	Term Source REF	Term Accession Number	Parameter Value[Average Plant Height]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File
LunarA_Apollo14_Seedlings_BoleraceaItalica	Seed Germination	TRUE	LunarA	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	18	day	UO	http://purl.obolibrary.org/obo/UO_0000033	34	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	19	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarB_Apollo14_Seedlings_BoleraceaItalica	Seed Germination	TRUE	LunarB	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	18	day	UO	http://purl.obolibrary.org/obo/UO_0000033	38	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
Terrestrial_Apollo14_Seedlings_BoleraceaItalica	Seed Germination	TRUE	Terrestrial	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	18	day	UO	http://purl.obolibrary.org/obo/UO_0000033	34	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	18	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
Untreated_Apollo14_Seedlings_BoleraceaItalica	Seed Germination	TRUE	Untreated	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	18	day	UO	http://purl.obolibrary.org/obo/UO_0000033	36	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	18	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarA_Apollo14_Seedlings_BoleraceaGemmifera	Seed Germination	TRUE	LunarA	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	19	day	UO	http://purl.obolibrary.org/obo/UO_0000033	33	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	18	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarB_Apollo14_Seedlings_BoleraceaGemmifera	Seed Germination	TRUE	LunarB	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	19	day	UO	http://purl.obolibrary.org/obo/UO_0000033	45	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	21	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
Terrestrial_Apollo14_Seedlings_BoleraceaGemmifera	Seed Germination	TRUE	Terrestrial	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	19	day	UO	http://purl.obolibrary.org/obo/UO_0000033	37	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	19	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
Untreated_Apollo14_Seedlings_BoleraceaGemmifera	Seed Germination	TRUE	Untreated	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	19	day	UO	http://purl.obolibrary.org/obo/UO_0000033	40	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	19	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarA_Apollo14_Seedlings_BoleraceaCapitata	Seed Germination	TRUE	LunarA	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	35	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	18	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarB_Apollo14_Seedlings_BoleraceaCapitata	Seed Germination	TRUE	LunarB	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	36	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	18	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
