Sample Name	Protocol REF	Parameter Value[Solid Or Aqueous Sample?]	Parameter Value[Solid Prep Notes]	Parameter Value[Solution Prep Method]	Protocol REF	Parameter Value[Instrument Make]	Parameter Value[Spectrometer Type]	Parameter Value[Discharge Current]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Elements Targeted]	Parameter Value[Calibration Strategy]	Parameter Value[Internal Standard]	Assay Name	Raw Data File
LunarA_Apollo14_Seedlings_BoleraceaItalica	Sample Preparation	solid (ash powder)	20 mg ash mixed with 80 mg graphite containing 50 ppm Pd; matrix of 100 mg Na2CO3, 400 mg CaCO3, 400 mg K2CO3, 100 mg MgO	none (solid arc emission)	Assay Procedure	Perkin-Elmer	arc emission spectrograph	8	ampere	UO	http://purl.obolibrary.org/obo/UO_0000011	Measurement And Calibration	B, Fe, Al, Mo, Cu, Co, Zn, Ti, Ni	external with carbonate matrix	Pd 3460.8 Å line (internal standard Pd line)	spectroscopy	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarB_Apollo14_Seedlings_BoleraceaItalica	Sample Preparation	solid (ash powder)	20 mg ash mixed with 80 mg graphite containing 50 ppm Pd; matrix of 100 mg Na2CO3, 400 mg CaCO3, 400 mg K2CO3, 100 mg MgO	none (solid arc emission)	Assay Procedure	Perkin-Elmer	arc emission spectrograph	8	ampere	UO	http://purl.obolibrary.org/obo/UO_0000011	Measurement And Calibration	B, Fe, Al, Mo, Cu, Co, Zn, Ti, Ni	external with carbonate matrix	Pd 3460.8 Å line (internal standard Pd line)	spectroscopy	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
Terrestrial_Apollo14_Seedlings_BoleraceaItalica	Sample Preparation	solid (ash powder)	20 mg ash mixed with 80 mg graphite containing 50 ppm Pd; matrix of 100 mg Na2CO3, 400 mg CaCO3, 400 mg K2CO3, 100 mg MgO	none (solid arc emission)	Assay Procedure	Perkin-Elmer	arc emission spectrograph	8	ampere	UO	http://purl.obolibrary.org/obo/UO_0000011	Measurement And Calibration	B, Fe, Al, Mo, Cu, Co, Zn, Ti, Ni	external with carbonate matrix	Pd 3460.8 Å line (internal standard Pd line)	spectroscopy	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
Untreated_Apollo14_Seedlings_BoleraceaItalica	Sample Preparation	solid (ash powder)	20 mg ash mixed with 80 mg graphite containing 50 ppm Pd; matrix of 100 mg Na2CO3, 400 mg CaCO3, 400 mg K2CO3, 100 mg MgO	none (solid arc emission)	Assay Procedure	Perkin-Elmer	arc emission spectrograph	8	ampere	UO	http://purl.obolibrary.org/obo/UO_0000011	Measurement And Calibration	B, Fe, Al, Mo, Cu, Co, Zn, Ti, Ni	external with carbonate matrix	Pd 3460.8 Å line (internal standard Pd line)	spectroscopy	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarA_Apollo14_Seedlings_BoleraceaGemmifera	Sample Preparation	solid (ash powder)	20 mg ash mixed with 80 mg graphite containing 50 ppm Pd; matrix of 100 mg Na2CO3, 400 mg CaCO3, 400 mg K2CO3, 100 mg MgO	none (solid arc emission)	Assay Procedure	Perkin-Elmer	arc emission spectrograph	8	ampere	UO	http://purl.obolibrary.org/obo/UO_0000011	Measurement And Calibration	B, Fe, Al, Mo, Cu, Co, Zn, Ti, Ni	external with carbonate matrix	Pd 3460.8 Å line (internal standard Pd line)	spectroscopy	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarB_Apollo14_Seedlings_BoleraceaGemmifera	Sample Preparation	solid (ash powder)	20 mg ash mixed with 80 mg graphite containing 50 ppm Pd; matrix of 100 mg Na2CO3, 400 mg CaCO3, 400 mg K2CO3, 100 mg MgO	none (solid arc emission)	Assay Procedure	Perkin-Elmer	arc emission spectrograph	8	ampere	UO	http://purl.obolibrary.org/obo/UO_0000011	Measurement And Calibration	B, Fe, Al, Mo, Cu, Co, Zn, Ti, Ni	external with carbonate matrix	Pd 3460.8 Å line (internal standard Pd line)	spectroscopy	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
Terrestrial_Apollo14_Seedlings_BoleraceaGemmifera	Sample Preparation	solid (ash powder)	20 mg ash mixed with 80 mg graphite containing 50 ppm Pd; matrix of 100 mg Na2CO3, 400 mg CaCO3, 400 mg K2CO3, 100 mg MgO	none (solid arc emission)	Assay Procedure	Perkin-Elmer	arc emission spectrograph	8	ampere	UO	http://purl.obolibrary.org/obo/UO_0000011	Measurement And Calibration	B, Fe, Al, Mo, Cu, Co, Zn, Ti, Ni	external with carbonate matrix	Pd 3460.8 Å line (internal standard Pd line)	spectroscopy	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
Untreated_Apollo14_Seedlings_BoleraceaGemmifera	Sample Preparation	solid (ash powder)	20 mg ash mixed with 80 mg graphite containing 50 ppm Pd; matrix of 100 mg Na2CO3, 400 mg CaCO3, 400 mg K2CO3, 100 mg MgO	none (solid arc emission)	Assay Procedure	Perkin-Elmer	arc emission spectrograph	8	ampere	UO	http://purl.obolibrary.org/obo/UO_0000011	Measurement And Calibration	B, Fe, Al, Mo, Cu, Co, Zn, Ti, Ni	external with carbonate matrix	Pd 3460.8 Å line (internal standard Pd line)	spectroscopy	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarA_Apollo14_Seedlings_BoleraceaCapitata	Sample Preparation	solid (ash powder)	20 mg ash mixed with 80 mg graphite containing 50 ppm Pd; matrix of 100 mg Na2CO3, 400 mg CaCO3, 400 mg K2CO3, 100 mg MgO	none (solid arc emission)	Assay Procedure	Perkin-Elmer	arc emission spectrograph	8	ampere	UO	http://purl.obolibrary.org/obo/UO_0000011	Measurement And Calibration	B, Fe, Al, Mo, Cu, Co, Zn, Ti, Ni	external with carbonate matrix	Pd 3460.8 Å line (internal standard Pd line)	spectroscopy	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarB_Apollo14_Seedlings_BoleraceaCapitata	Sample Preparation	solid (ash powder)	20 mg ash mixed with 80 mg graphite containing 50 ppm Pd; matrix of 100 mg Na2CO3, 400 mg CaCO3, 400 mg K2CO3, 100 mg MgO	none (solid arc emission)	Assay Procedure	Perkin-Elmer	arc emission spectrograph	8	ampere	UO	http://purl.obolibrary.org/obo/UO_0000011	Measurement And Calibration	B, Fe, Al, Mo, Cu, Co, Zn, Ti, Ni	external with carbonate matrix	Pd 3460.8 Å line (internal standard Pd line)	spectroscopy	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
