Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Characteristics[Common Name]	Characteristics[organism part]	Term Source REF	Term Accession Number	Factor Value[Growth Medium Provenance]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Term Source REF	Term Accession Number	Parameter Value[container]	Term Source REF	Term Accession Number	Parameter Value[Number of seeds per container]	Term Source REF	Term Accession Number	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Intensity]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Treatment Growth Medium]	Parameter Value[Quantity of treatment medium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium Al]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium Ca]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium Co]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium Cu]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium Fe]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium K]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium Mn]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium Mg]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium Na]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium Ni]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium Ti]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Number of pooled seedlings]
LunarA_Apollo14_Seedlings_BoleraceaItalica	LunarA_Apollo14_Seedlings_BoleraceaItalica	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Italica			Green Bud			LunarA	Broccoli	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	lunar surface	RBO	http://purl.obolibrary.org/obo/RBO_00005019	growth protocol	18	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	moistened BR-8 stabilized with acrylonitrile	OSD	https://osdr.nasa.gov/	growth chamber	OSD	https://osdr.nasa.gov/	10	OSD	https://osdr.nasa.gov/	16:8	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	8000	lux	UO	http://purl.obolibrary.org/obo/UO_0000116	treatment protocol	Lunar Type A passed through a 105-u sieve without grinding	0.22	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	94900	parts per million	RBO	http://purl.obolibrary.org/obo/UO_0000169	71400	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	46	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	15	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	86200	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	4500	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	53400	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	4400	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	360	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	11300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	sample collection	45
LunarB_Apollo14_Seedlings_BoleraceaItalica	LunarB_Apollo14_Seedlings_BoleraceaItalica	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Italica			Green Bud			LunarB	Broccoli	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	lunar surface	RBO	http://purl.obolibrary.org/obo/RBO_00005019	growth protocol	18	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	moistened BR-8 stabilized with acrylonitrile	OSD	https://osdr.nasa.gov/	growth chamber	OSD	https://osdr.nasa.gov/	10	OSD	https://osdr.nasa.gov/	16:8	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	8000	lux	UO	http://purl.obolibrary.org/obo/UO_0000116	treatment protocol	Lunar Type B passed a 1-mm sieve without grinding	0.22	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	95400	parts per million	RBO	http://purl.obolibrary.org/obo/UO_0000169	78300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	40	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	11	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	85000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	4600	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	53000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	5200	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	310	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	10800	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	sample collection	47
Terrestrial_Apollo14_Seedlings_BoleraceaItalica	Terrestrial_Apollo14_Seedlings_BoleraceaItalica	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Italica			Green Bud			Terrestrial	Broccoli	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	growth protocol	18	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	moistened BR-8 stabilized with acrylonitrile	OSD	https://osdr.nasa.gov/	growth chamber	OSD	https://osdr.nasa.gov/	10	OSD	https://osdr.nasa.gov/	16:8	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	8000	lux	UO	http://purl.obolibrary.org/obo/UO_0000116	treatment protocol	terrestrial basalt-ilmenite control	0.22	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	61000	parts per million	RBO	http://purl.obolibrary.org/obo/UO_0000169	80000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	40	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	130	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	120000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	3800	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	4600	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	38000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	16000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	100	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	55000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	sample collection	54
Untreated_Apollo14_Seedlings_BoleraceaItalica	Untreated_Apollo14_Seedlings_BoleraceaItalica	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Italica			Green Bud			Untreated	Broccoli	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	growth protocol	18	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	moistened BR-8 stabilized with acrylonitrile	OSD	https://osdr.nasa.gov/	growth chamber	OSD	https://osdr.nasa.gov/	10	OSD	https://osdr.nasa.gov/	16:8	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	8000	lux	UO	http://purl.obolibrary.org/obo/UO_0000116	treatment protocol	Not Applicable		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	47
LunarA_Apollo14_Seedlings_BoleraceaGemmifera	LunarA_Apollo14_Seedlings_BoleraceaGemmifera	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Gemmifera			Jade Cross			LunarA	Brussel Sprouts	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	lunar surface	RBO	http://purl.obolibrary.org/obo/RBO_00005019	growth protocol	19	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	moistened BR-8 stabilized with acrylonitrile	OSD	https://osdr.nasa.gov/	growth chamber	OSD	https://osdr.nasa.gov/	10	OSD	https://osdr.nasa.gov/	16:8	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	8000	lux	UO	http://purl.obolibrary.org/obo/UO_0000116	treatment protocol	Lunar Type A passed through a 105-u sieve without grinding	0.22	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	94900	parts per million	RBO	http://purl.obolibrary.org/obo/UO_0000169	71400	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	46	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	15	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	86200	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	4500	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	53400	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	4400	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	360	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	11300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	sample collection	55
LunarB_Apollo14_Seedlings_BoleraceaGemmifera	LunarB_Apollo14_Seedlings_BoleraceaGemmifera	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Gemmifera			Jade Cross			LunarB	Brussel Sprouts	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	lunar surface	RBO	http://purl.obolibrary.org/obo/RBO_00005019	growth protocol	19	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	moistened BR-8 stabilized with acrylonitrile	OSD	https://osdr.nasa.gov/	growth chamber	OSD	https://osdr.nasa.gov/	10	OSD	https://osdr.nasa.gov/	16:8	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	8000	lux	UO	http://purl.obolibrary.org/obo/UO_0000116	treatment protocol	Lunar Type B passed a 1-mm sieve without grinding	0.22	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	95400	parts per million	RBO	http://purl.obolibrary.org/obo/UO_0000169	78300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	40	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	11	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	85000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	4600	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	53000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	5200	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	310	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	10800	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	sample collection	53
Terrestrial_Apollo14_Seedlings_BoleraceaGemmifera	Terrestrial_Apollo14_Seedlings_BoleraceaGemmifera	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Gemmifera			Jade Cross			Terrestrial	Brussel Sprouts	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	growth protocol	19	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	moistened BR-8 stabilized with acrylonitrile	OSD	https://osdr.nasa.gov/	growth chamber	OSD	https://osdr.nasa.gov/	10	OSD	https://osdr.nasa.gov/	16:8	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	8000	lux	UO	http://purl.obolibrary.org/obo/UO_0000116	treatment protocol	terrestrial basalt-ilmenite control	0.22	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	61000	parts per million	RBO	http://purl.obolibrary.org/obo/UO_0000169	80000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	40	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	130	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	120000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	3800	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	4600	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	38000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	16000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	100	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	55000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	sample collection	47
Untreated_Apollo14_Seedlings_BoleraceaGemmifera	Untreated_Apollo14_Seedlings_BoleraceaGemmifera	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Gemmifera			Jade Cross			Untreated	Brussel Sprouts	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	growth protocol	19	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	moistened BR-8 stabilized with acrylonitrile	OSD	https://osdr.nasa.gov/	growth chamber	OSD	https://osdr.nasa.gov/	10	OSD	https://osdr.nasa.gov/	16:8	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	8000	lux	UO	http://purl.obolibrary.org/obo/UO_0000116	treatment protocol	Not Applicable		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	44
LunarA_Apollo14_Seedlings_BoleraceaCapitata	LunarA_Apollo14_Seedlings_BoleraceaCapitata	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Capitata			Golden Acre			LunarA	Cabbage	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	lunar surface	RBO	http://purl.obolibrary.org/obo/RBO_00005019	growth protocol	17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	moistened BR-8 stabilized with acrylonitrile	OSD	https://osdr.nasa.gov/	growth chamber	OSD	https://osdr.nasa.gov/	10	OSD	https://osdr.nasa.gov/	16:8	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	8000	lux	UO	http://purl.obolibrary.org/obo/UO_0000116	treatment protocol	Lunar Type A passed through a 105-u sieve without grinding	0.22	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	94900	parts per million	RBO	http://purl.obolibrary.org/obo/UO_0000169	71400	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	46	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	15	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	86200	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	4500	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	53400	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	4400	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	360	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	11300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	sample collection	77
LunarB_Apollo14_Seedlings_BoleraceaCapitata	LunarB_Apollo14_Seedlings_BoleraceaCapitata	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Capitata			Golden Acre			LunarB	Cabbage	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	lunar surface	RBO	http://purl.obolibrary.org/obo/RBO_00005019	growth protocol	17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	moistened BR-8 stabilized with acrylonitrile	OSD	https://osdr.nasa.gov/	growth chamber	OSD	https://osdr.nasa.gov/	10	OSD	https://osdr.nasa.gov/	16:8	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	8000	lux	UO	http://purl.obolibrary.org/obo/UO_0000116	treatment protocol	Lunar Type B passed a 1-mm sieve without grinding	0.22	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	95400	parts per million	RBO	http://purl.obolibrary.org/obo/UO_0000169	78300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	40	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	11	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	85000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	4600	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	1300	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	53000	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	5200	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	310	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	10800	parts per million	UO	http://purl.obolibrary.org/obo/UO_0000169	sample collection	67
